Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
5000.0,1.0,1.0,1.0,5000.0,52.0,168.0,168.0,1,18340.106045490596,48563.76288322842,2314.9966372684044
,,,,,,,168.0,2,15758.631065390373,46583.90191810051,2220.711678904787
,,,,,,,168.0,3,14907.165541651022,44652.18346884199,2125.4236890692155
,,,,,,,168.0,4,14582.224635064978,43651.2203263913,2083.2963672471733
,,,,,,,168.0,5,14304.420218014566,42998.287454912956,2058.2205804483388
,,,,,,,168.0,6,14158.999133276986,42635.212647731445,2045.1811713129448
,,,,,,,168.0,7,14524.056201169948,43584.02139799031,2095.332744910614
,,,,,,,168.0,8,14891.119077128255,45510.72500184578,2205.666206825486
,,,,,,,168.0,9,15504.89634512411,47048.27660242383,2275.8784098622227
,,,,,,,168.0,10,15931.130559010124,48822.52890602629,2366.151242338027
,,,,,,,168.0,11,16527.85845845054,51188.53296718977,2480.4968301407125
,,,,,,,168.0,12,16791.622219043533,52683.959866382116,2555.724190537216
,,,,,,,168.0,13,17498.669562077976,54230.53818868568,2624.9333621019996
,,,,,,,168.0,14,18187.664632524305,55989.74595607896,2717.2122575217104
,,,,,,,168.0,15,18128.4932945966,55791.1580781178,2709.1880057460835
,,,,,,,168.0,16,18342.111853555944,55640.71271602601,2697.1516280826427
,,,,,,,168.0,17,18578.797205266765,55798.178861682085,2704.1728483863167
,,,,,,,168.0,18,19304.899724921994,56857.314210808254,2761.3456422876593
,,,,,,,168.0,19,19902.630528395082,58823.133608807584,2851.6184747634634
,,,,,,,168.0,20,22127.07167286373,65738.60541962666,3184.6249234519864
,,,,,,,168.0,21,22182.231394660743,66651.3072829835,3230.7643711618416
,,,,,,,168.0,22,21521.317637129257,65119.77349688912,3148.5157904616644
,,,,,,,168.0,23,20691.916002108712,63036.6067164582,3042.194454434606
,,,,,,,168.0,24,19373.097199143755,59478.07241844716,2865.660915370811
,,,,,,,168.0,25,17842.665645284804,54958.69374120992,2641.9848971252068
,,,,,,,168.0,26,15651.320333894364,48939.87628845788,2326.029983459892
,,,,,,,168.0,27,15112.76086834898,47483.565183409395,2259.8299063109685
,,,,,,,168.0,28,14933.241046500518,47110.46068542176,2244.784434231668
,,,,,,,168.0,29,15005.450136852973,47725.280731836865,2281.896598693943
,,,,,,,168.0,30,15218.065791779642,48968.96239179563,2347.093644370913
,,,,,,,168.0,31,16121.682325217987,52443.247287035265,2521.621120490801
,,,,,,,168.0,32,17471.591153195805,58216.33731503738,2831.557845324396
,,,,,,,168.0,33,18876.659702970635,62120.89594585953,3016.115636163818
,,,,,,,168.0,34,19179.536720837874,62799.906013433785,3036.176265602886
,,,,,,,168.0,35,19301.891012823973,62302.433349450286,2990.0368178930303
,,,,,,,168.0,36,19121.36828694284,61809.97553086984,2968.973156982009
,,,,,,,168.0,37,19344.01298219624,61556.22435347502,2949.915559014895
,,,,,,,168.0,38,19447.312097561557,61195.15548445474,2934.8700869355944
,,,,,,,168.0,39,19155.46702405372,59733.8295340032,2860.645758011044
,,,,,,,168.0,40,19201.600609556677,59193.22919955338,2837.5760341561163
,,,,,,,168.0,41,20217.542394654396,61274.390041823084,2953.9276849027083
,,,,,,,168.0,42,21972.624451832093,65310.337622205385,3168.576419900732
,,,,,,,168.0,43,24458.823548828386,72232.83021658874,3521.6434980283225
