Time_Index,None,waste_biomass,west_south_central_coal,west_south_central_naturalgas,west_south_central_uranium,west_south_central_distillate,hydrogen,west_south_central_naturalgas_ccs90
0,0.0,0.0,0.09552,0.05306,0.0,0.07315,0.0,0.00531
1,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
2,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
3,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
4,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
5,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
6,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
7,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
8,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
9,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
10,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
11,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
12,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
13,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
14,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
15,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
16,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
17,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
18,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
19,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
20,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
21,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
22,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
23,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
24,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
25,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
26,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
27,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
28,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
29,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
30,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
31,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
32,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
33,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
34,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
35,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
36,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
37,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
38,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
39,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
40,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
41,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
42,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
43,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
44,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
45,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
46,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
47,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
48,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
49,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
50,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
51,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
52,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
53,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
54,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
55,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
56,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
57,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
58,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
59,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
60,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
61,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
62,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
63,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
64,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
65,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
66,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
67,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
68,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
69,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
70,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
71,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
72,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
73,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
74,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
75,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
76,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
77,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
78,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
79,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
80,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
81,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
82,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
83,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
84,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
85,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
86,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
87,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
88,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
89,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
90,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
91,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
92,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
93,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
94,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
95,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
96,0.0,1.0,1.69,3.49,0.74,19.38,16.0,3.49
