Resource,Zone,ExistingCap_MW,EndCap_MW_p1,EndCap_MW_p2,EndCap_MW_p3,Cap_Size_MW,RetCap_p1,RetCap_p2,RetCap_p3,NewCap_p1,NewCap_p2,NewCap_p3
SPPS_batteries_1,1,222.0,221.9979488892692,221.99409449222168,221.98082510727744,55.5,3.69569501047541e-5,6.944859545038746e-5,0.0002390880170137456,0.0,0.0,0.0
SPPS_biomass_1,1,2.0,2.0,2.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_biomass_2,1,44.5,44.499754479544215,44.499265906436115,44.497608515327215,5.56,4.415835535667348e-5,8.787286116835187e-5,0.00029809192606164415,0.0,0.0,0.0
SPPS_conventional_hydroelectric_1,1,2016.2999999999997,2016.2999999999997,2016.2999999999997,2016.2999999999997,34.17,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_conventional_steam_coal_1,1,4269.0,4269.0,4269.0,4269.0,474.33,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_conventional_steam_coal_2,1,2455.0,2455.0,2455.0,2455.0,350.71,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_hydroelectric_pumped_storage_1,1,474.0,474.0,474.0,474.0,36.46,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_natural_gas_fired_combined_cycle_1,1,2898.9,2898.9,2898.9,2898.9,207.06,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_natural_gas_fired_combined_cycle_2,1,6887.7,6887.7,6887.7,6887.7,362.51,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_natural_gas_fired_combustion_turbine_1,1,182.1,182.1,182.1,182.1,22.76,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_natural_gas_fired_combustion_turbine_2,1,3385.0,3385.0,3385.0,3385.0,105.78,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_natural_gas_fired_combustion_turbine_3,1,409.4,409.4,409.4,409.4,27.29,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_natural_gas_internal_combustion_engine_1,1,496.7,496.7,496.7,496.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_natural_gas_steam_turbine_1,1,7565.2,0.01230461184231757,0.007420846815866739,0.002990769079600906,199.08,38.0007418896331,2.4531670818017033e-5,2.225275133748158e-5,0.0,0.0,0.0
SPPS_onshore_wind_turbine_1,1,19179.0,19179.0,19179.0,19179.0,152.21,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_petroleum_liquids_1,1,129.3,129.3,129.3,129.3,2.15,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_small_hydroelectric_1,1,39.8,39.8,39.8,39.8,3.62,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_solar_photovoltaic_1,1,334.8,334.8,334.8,334.8,10.14,0.0,0.0,0.0,0.0,0.0,0.0
TRE_batteries_1,2,2829.5,2829.495402783859,2829.489174768893,2829.4615778184866,56.59,8.123725288844511e-5,0.0001100550444629294,0.0004876647889441581,0.0,0.0,0.0
TRE_biomass_1,2,10.1,10.1,10.1,10.1,0.44,0.0,0.0,0.0,0.0,0.0,0.0
TRE_biomass_2,2,20.1,20.1,20.1,20.1,20.15,0.0,0.0,0.0,0.0,0.0,0.0
TRE_conventional_hydroelectric_1,2,483.0,483.0,483.0,483.0,21.96,0.0,0.0,0.0,0.0,0.0,0.0
TRE_conventional_steam_coal_1,2,5063.6,5063.6,5063.6,5063.6,723.37,0.0,0.0,0.0,0.0,0.0,0.0
TRE_conventional_steam_coal_2,2,6227.0,6227.0,6227.0,6227.0,566.09,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_fired_combined_cycle_1,2,31576.3,31576.3,31576.3,31576.3,526.27,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_fired_combined_cycle_2,2,6578.8,6578.8,6578.8,6578.8,263.15,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_fired_combustion_turbine_1,2,8353.5,8353.5,8353.5,8353.5,61.42,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_fired_combustion_turbine_2,2,1600.3,1600.3,1600.3,1600.3,34.79,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_internal_combustion_engine_1,2,900.0,900.0,900.0,900.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_steam_turbine_1,2,7739.2,7739.2,7739.2,7739.2,214.98,0.0,0.0,0.0,0.0,0.0,0.0
TRE_nuclear_1,2,5120.0,5120.0,5120.0,5120.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_onshore_wind_turbine_1,2,12327.8,12327.8,12327.8,12327.8,195.68,0.0,0.0,0.0,0.0,0.0,0.0
TRE_petroleum_liquids_1,2,146.0,146.0,146.0,146.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0
TRE_small_hydroelectric_1,2,21.7,21.7,21.7,21.7,1.36,0.0,0.0,0.0,0.0,0.0,0.0
TRE_solar_photovoltaic_1,2,12506.6,12506.6,12506.6,12506.6,102.51,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_batteries_1,3,1912.4,1912.3929093505456,1912.3844174844655,1912.3534520285111,49.04,0.00014458909980481744,0.00017316203262754328,0.0006314326254997268,0.0,0.0,0.0
TRE_WEST_natural_gas_fired_combined_cycle_1,3,3197.2,3197.2,3197.2,3197.2,319.72,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_natural_gas_fired_combined_cycle_2,3,393.1,393.1,393.1,393.1,131.03,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_natural_gas_fired_combustion_turbine_1,3,872.0,872.0,872.0,872.0,79.27,0.0,0.0,0.0,0.0,0.0,0.0
