Line,ExistingTransCap_MW,EndTransCap_MW_p1,EndTransCap_MW_p2,EndTransCap_MW_p3,Line_Size_MW,NewTransCap_p1,NewTransCap_p2,NewTransCap_p3
L1,600.0,600.0,600.0,600.0,1.0,0.0,0.0,0.0
L2,220.0,220.0,220.0,220.0,1.0,0.0,0.0,0.0
L3,16529.0,16529.0,16529.0,16529.0,1.0,0.0,0.0,0.0
L4,0.0,0.006119076927057951,0.022937128516933414,0.07210316418343832,800.0,7.648846158822438e-6,2.102256448734433e-5,6.145754458313112e-5
L5,0.0,0.0018527718170801752,0.006084980763710121,0.019792782756433824,800.0,2.315964771350219e-6,5.290261183287431e-6,1.7134752490904632e-5
L6,0.0,0.0012071683059626515,0.004591436819357523,0.01589705153120931,800.0,1.5089603824533142e-6,4.230335641743589e-6,1.4132018389814736e-5
L7,0.0,0.0033856195381561714,0.012348424451191636,0.037083125934675706,400.0,8.464048845390429e-6,2.240701228258866e-5,6.183675370871017e-5
L8,0.0,0.0013398032942845124,0.0041008629335274735,0.012840176078743475,400.0,3.349508235711281e-6,6.902649098107403e-6,2.1848282863040003e-5
L9,0.0,0.000944642854702938,0.0029688975342838145,0.010343674734695782,400.0,2.361607136757345e-6,5.0606366989521915e-6,1.8436943001029915e-5
L10,0.0,0.014661826997115277,0.0629775002637565,0.20119077956144996,1500.0,9.774551331410184e-6,3.221044884442748e-5,9.214218619846233e-5
L11,0.0,0.0026712369712336204,0.00910571109556499,0.03466724968442325,1500.0,1.7808246474890803e-6,4.289649416220914e-6,1.704102572590551e-5
L12,0.0,0.0017864406997008028,0.008057497030741653,0.027176155160527803,1500.0,1.1909604664672018e-6,4.180704220693899e-6,1.27457720865241e-5
L13,0.0,0.0066799476654378935,0.024869762233273453,0.07883498562795754,750.0,8.906596887250525e-6,2.4253086090447413e-5,7.195363119291213e-5
L14,0.0,0.0019111473338418777,0.006297598437332963,0.0207270112222324,750.0,2.548196445122504e-6,5.8486014713214475e-6,1.923921704653258e-5
L15,0.0,0.0011950325215042714,0.004513507229593613,0.01571295026824946,750.0,1.5933766953390285e-6,4.4246329441191225e-6,1.4932590718207794e-5
L16,0.0,0.06655490227952827,0.19031898831050623,0.5420393591501566,3000.0,2.2184967426509422e-5,4.1254695343659315e-5,0.00011724012361321679
L17,0.0,1734.653085979286,2273.7941408988595,2275.1330613024506,3000.0,0.5782176953264287,0.17971368497319112,0.00044630680119705254
L18,0.0,0.00479294709035192,0.018659732805090114,0.06608170430604236,3000.0,1.5976490301173068e-6,4.622261904912731e-6,1.580732383365075e-5
L19,0.0,2258.4415773891974,4168.347865120557,5441.471011795269,3000.0,0.7528138591297324,0.6366354292437865,0.42437438222490365
L20,0.0,0.028969077102550818,0.09631671082396186,0.28756622811738075,3000.0,9.656359034183606e-6,2.244921124047035e-5,6.374983909780628e-5
L21,0.0,0.0029836178030627617,0.013524859966974985,0.05243654002637747,3000.0,9.945392676875873e-7,3.5137473879707412e-6,1.297056001980083e-5
L22,0.0,0.08879785554048286,0.26765685036902953,0.7786188856724772,1500.0,5.9198570360321904e-5,0.0001192393298856978,0.0003406413568689651
L23,0.0,0.014190662584023949,0.04935136893939346,0.15904459391248965,1500.0,9.460441722682633e-6,2.3440470903579672e-5,7.312881664873078e-5
L24,0.0,0.0023395287812246553,0.010634219239238267,0.04150167500233941,1500.0,1.5596858541497705e-6,5.529793638675741e-6,2.057830384206743e-5
