region,Resource,technology,cluster,R_ID,Zone,Num_VRE_Bins,THERM,VRE,MUST_RUN,STOR,FLEX,HYDRO,LDS,CapRes_1,CapRes_2,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,interconnect_capex_mw,regional_cost_multiplier,cap_recovery_years,wacc_real,variable_CF,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,CapRes_3,CapRes_4,CapRes_5,CapRes_6,CapRes_7,CapRes_8,CapRes_9,CapRes_10,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,MinCapTag_1,MinCapTag_2,MinCapTag_3,MinCapTag_4,MinCapTag_5,Retro3_Source,Retro3_Efficiency,gen_is_variable,Retro3_Inv_Cost_per_MWyr,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
SPPS,SPPS_batteries_1,Batteries,1,1,1,0,0,0,0,1,0,0,0,0.0,0.0,0,0,446.2,222.0,0,4,222.0,0,55.5,0,0.0,0,0,0,0,0,0,0.0,0,6235,0.0,0,0,0.15,0.15,0,0,0,0.0,10.34,0.0,0.0,None,0.0,0,0.92,0.92,0.0,1,10,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,20,20,0,0,0
SPPS,SPPS_biomass_1,Biomass,1,2,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0,2.0,0,8,11.8,-1,0.25,0,0.0,0,0,0,0,0,0,0.0,0,150850,0.0,0,0,5.4,0.0,0,0,172,0.0,12.56,0.093,0.65,waste_biomass,0.331,0,1.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.039,20,20,0,0,0
SPPS,SPPS_biomass_2,Biomass,2,3,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0,44.5,0,8,266.6,0,5.56,0,0.0,0,0,0,0,0,0,0.0,0,150850,0.0,0,0,3.96,0.0,0,0,172,0.0,9.21,0.0,0.0,waste_biomass,0.0,0,1.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.039,20,20,0,0,0
SPPS,SPPS_conventional_hydroelectric_1,Conventional Hydroelectric,1,4,1,0,0,0,0,0,0,1,1,0.0,0.0,0,0,0.0,2016.3,0,59,2016.325,-1,34.17,0,0.0,0,0,0,0,0,0,0.0,0,47048,0.0,0,0,0.0,0.0,0,0,0,0.0,10.34,0.0,0.0,None,0.032,0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.168859415,0,0,0,0,0,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.039,20,20,0,0,0
SPPS,SPPS_conventional_steam_coal_1,Conventional Steam Coal,1,5,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,4269.0,0,9,4268.997,-1,474.33,0,0.0,0,0,0,0,0,0,0.0,0,59217,0.0,0,0,1.88,0.0,0,0,124,16.5,11.48,0.952,0.99,west_south_central_coal,0.5,0,1.0,1.0,0.0,0,0,0.095,0.19,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,24,24,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,20,20,0,0,0
SPPS,SPPS_conventional_steam_coal_2,Conventional Steam Coal,2,6,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,2455.0,0,7,2454.998,-1,350.71,0,0.0,0,0,0,0,0,0,0.0,0,75955,0.0,0,0,1.88,0.0,0,0,124,16.5,16.21,2.158,8.469,west_south_central_coal,0.5,0,1.0,1.0,0.0,0,0,0.095,0.19,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,24,24,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,20,20,0,0,0
SPPS,SPPS_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,1,7,1,0,0,0,0,1,0,0,1,0.0,0.0,0,0,7347.0,474.0,0,13,474.006,-1,36.46,0,0.0,0,0,0,0,0,0,0.0,0,47048,0.0,0,0,0.0,0.0,0,0,0,0.0,10.34,0.0,0.0,None,0.247,0,0.866,0.866,0.0,1,20,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,20,20,0,0,0
SPPS,SPPS_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,1,8,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,2898.9,0,14,2898.896,-1,207.06,0,0.0,0,0,0,0,0,0,0.0,0,16492,0.0,0,0,4.55,0.0,0,0,92,2.0,8.77,1.785,1.005,west_south_central_naturalgas,0.3,0,1.0,1.0,0.0,0,0,0.106666667,0.213333333,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,20,20,0,0,0
SPPS,SPPS_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2,9,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,6887.7,0,19,6887.709,-1,362.51,0,0.0,0,0,0,0,0,0,0.0,0,11205,0.0,0,0,3.58,0.0,0,0,92,2.0,7.08,0.869,0.408,west_south_central_naturalgas,0.3,0,1.0,1.0,0.0,0,0,0.106666667,0.213333333,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,20,20,0,0,0
SPPS,SPPS_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,1,10,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,182.1,0,8,182.096,-1,22.76,0,0.0,0,0,0,0,0,0,0.0,0,12146,0.0,0,0,5.28,0.0,0,0,119,3.5,15.55,1.657,1.396,west_south_central_naturalgas,0.3,0,1.0,1.0,0.0,0,0,0.106666667,0.213333333,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,20,20,0,0,0
