Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
5000.0,1.0,1.0,1.0,5000.0,52.0,168.0,168.0,1,21301.109677433196,55073.330819184346,2638.7063454141153
,,,,,,,168.0,2,18302.648308593438,52862.976250751635,2533.3987945709064
,,,,,,,168.0,3,17008.997751468596,49776.10176725078,2375.938932833918
,,,,,,,168.0,4,16548.698832305567,48273.782736619105,2307.739757049745
,,,,,,,168.0,5,16138.541407604745,47238.807276264044,2263.6108786011623
,,,,,,,168.0,6,15841.703760388502,46404.408455512676,2224.4966454308274
,,,,,,,168.0,7,16267.90646331723,47463.453112620184,2281.663601602855
,,,,,,,168.0,8,16640.95918211602,49581.54242683519,2402.015088280808
,,,,,,,168.0,9,17512.418355869115,52048.635093960635,2521.3636459031113
,,,,,,,168.0,10,18178.297402327174,54689.226554343266,2657.7619974714576
,,,,,,,168.0,11,19153.048054672407,58394.87997102152,2843.303872766635
,,,,,,,168.0,12,19690.564875307224,60866.98705413705,2971.6787918897844
,,,,,,,168.0,13,20874.906974504465,63935.809640073574,3121.115221181576
,,,,,,,168.0,14,22023.147197688922,67138.01569134655,3291.613160642009
,,,,,,,168.0,15,22065.266053037172,67346.6153965344,3306.657096476753
,,,,,,,168.0,16,22440.324431614452,67619.39962639542,3316.686387033249
,,,,,,,168.0,17,22808.363000967023,68103.79221103834,3341.7596134244895
,,,,,,,168.0,18,23838.26929722068,69807.69076447171,3434.029086544253
,,,,,,,168.0,19,24298.568216383705,71486.51723795464,3506.2399785510247
,,,,,,,168.0,20,27357.199378578105,80853.44630744716,3968.5902732054938
,,,,,,,168.0,21,27416.366342043504,82006.7619851684,4027.7630874888205
,,,,,,,168.0,22,26316.261953542766,79315.02348168683,3882.3383744196276
,,,,,,,168.0,23,25052.696293095243,75879.14564527555,3702.8140734583476
,,,,,,,168.0,24,23127.262905746637,70425.4668144511,3426.0056540990563
,,,,,,,168.0,25,20899.97772173557,63623.91296548983,3079.995129899942
,,,,,,,168.0,26,17571.585319334514,54249.96371361118,2584.5481764090364
,,,,,,,168.0,27,16777.344047053215,51841.03827197081,2468.208405953682
,,,,,,,168.0,28,16457.44131238436,50963.51547370465,2426.0853856163985
,,,,,,,168.0,29,16492.5403585079,51468.96860550596,2458.179115397186
,,,,,,,168.0,30,16647.97899134073,52572.14012332627,2514.343142513564
,,,,,,,168.0,31,17738.05508094903,56631.811308905046,2719.943598921733
,,,,,,,168.0,32,19393.727228090982,63522.621762489965,3090.0244204564383
,,,,,,,168.0,33,21411.420965250043,69554.96419857106,3386.891420928722
,,,,,,,168.0,34,21912.835909872076,70893.81326792573,3442.05251898945
,,,,,,,168.0,35,22053.232094366245,70300.10641469879,3388.8972790400207
,,,,,,,168.0,36,21936.903827213933,69923.02233224384,3374.8562722609263
,,,,,,,168.0,37,22514.533843418514,70774.47016736152,3415.97636354256
,,,,,,,168.0,38,22847.473366647544,71120.4648706779,3439.0437318225013
,,,,,,,168.0,39,22607.79702311821,69858.83780757066,3375.859201316576
,,,,,,,168.0,40,22874.549773657134,69910.98773386763,3385.888491873072
,,,,,,,168.0,41,24572.340776147335,73853.32158527823,3603.524096949037
,,,,,,,168.0,42,27223.823003308644,80487.39394017043,3958.5609826489977
,,,,,,,168.0,43,30548.204086152724,90001.74683977166,4449.996219917305
,,,,,,,168.0,44,30343.626788746933,91720.68864117532,4495.128027421537
,,,,,,,168.0,45,26727.422208132833,82065.93209385149,3962.572698871596
,,,,,,,168.0,46,25399.67543477369,78035.34452101526,3745.940022851281
,,,,,,,168.0,47,24052.87489351891,74074.95877204032,3541.3424954987613
,,,,,,,168.0,48,22200.64808808512,68044.62210235525,3245.4784240821273
,,,,,,,168.0,49,20757.57587746291,63256.85771501507,3019.8193865609655
,,,,,,,168.0,50,19319.51781628692,59399.76893543603,2843.303872766635
,,,,,,,168.0,51,18761.94439786722,57726.95976114122,2770.0900517042137
,,,,,,,168.0,52,18507.22560599923,57126.232725528156,2744.0138962573237
,,,,,,,,53,18682.72083661694,58102.03807720012,2798.1720652624026
,,,,,,,,54,18998.61225172882,60056.657430138126,2896.459112716064
,,,,,,,,55,20840.810758270167,66839.15649833705,3237.45499163693
,,,,,,,,56,24619.473780941807,80605.7341575366,3982.631279984588
,,,,,,,,57,26371.41759745119,85719.43558423278,4217.316679006596
,,,,,,,,58,25682.473463540515,83084.86142303827,4061.862675380907
